entry,mid,instspeed,exit,length
1021.4048597874291,1026.0552277615122,11.266838557492134,1031.4577627902395,117.23
1026.0249936795938,1030.0377146462893,13.136695914326049,1035.2008105451068,117.23
1031.734211550537,1036.2027521275645,12.33997989021578,1041.2201904653134,117.23
1033.5004872993695,1038.002687255732,13.56652391277472,1042.8785222956083,117.23
1051.3022621662683,1056.0905139929196,11.729882335813556,1061.5606678422325,117.23
1057.182280509948,1062.1404916124823,10.906243557610278,1067.637353063718,117.23
1070.0010851091881,1074.4999475027219,12.173272000893116,1079.6207131290182,117.23
1075.2311024317444,1080.4132156834555,10.346495682577823,1086.2722174455475,117.23
1077.147645699566,1082.3584400715101,11.124066193787526,1088.16936094992,117.23
1099.8144678262365,1104.2180902422374,12.311046115258584,1109.3815180045372,117.23
1104.1715241034651,1108.5557845520254,13.054433692742922,1113.6145999636124,117.23
